major,average lecture time (one day),average num of days a week,average lecture time (one week)
,,,
Bioengineering (BIOENGR),106.35,1.85,196.33
Islamic Studies (ISLM ST),75.0,2.0,150.0
Life Sciences (LIFESCI),72.5,2.08,151.04
Education (EDUC),186.36,1.16,216.01
Music History (MSC HST),123.33,1.56,191.85
Engineering (ENGR),105.0,1.67,175.0
Civic Engagement (CIVIC),170.0,1.0,170.0
Conservation of Archaeological and Ethnographic Materials (CAEM),170.0,1.0,170.0
International Development Studies (INTL DV),170.0,1.0,170.0
Latin American Studies (LATN AM),170.0,1.0,170.0
Jewish Studies (JEWISH),84.0,2.2,184.8
Indo-European Studies (I E STD),86.67,2.0,173.33
Southeast Asian (SEASIAN),170.0,1.0,170.0
Aerospace Studies (AERO ST),110.0,1.0,110.0
Hungarian (HNGAR),110.0,2.0,220.0
Polish (POLSH),78.33,1.67,130.56
Turkic Languages (TURKIC),130.0,2.33,303.33
Neurobiology (NEURBIO),50.0,3.0,150.0
Mathematics (MATH),66.37,2.52,167.03
"Earth, Planetary, and Space Sciences (EPS SCI)",77.0,1.84,141.68
Disability Studies (DIS STD),132.5,1.0,132.5
Public Policy (PUB PLC),125.0,1.54,192.31
Scandinavian (SCAND),82.5,1.79,147.32
